essayID,score
4,1623
3,1143
3,660
4,1596
4,846
4,868
3,145
3,500
3,652
2,214
3,1229
4,1588
4,1435
3,115
4,309
1,70
4,1068
4,42
3,47
3,100
3,165
3,479
4,977
4,1292
4,764
4,31
4,25
4,1438
4,1216
3,712
3,368
4,1180
3,1514
3,1172
4,1139
3,835
4,790
4,893
3,579
3,1517
3,1749
3,402
3,1570
3,1049
2,925
3,1140
3,138
4,671
4,541
3,889
2,845
4,1217
4,1148
4,197
3,1087
4,612
4,757
3,1508
4,720
4,1685
3,665
3,738
3,994
4,1235
3,576
3,373
4,851
4,1323
3,1648
4,810
3,569
4,89
4,1552
3,352
3,472
3,1647
3,740
4,844
4,1116
4,921
1,330
3,658
4,185
3,1313
4,849
1,18
4,662
4,331
1,279
3,124
3,182
3,811
4,396
3,708
4,523
3,36
4,956
4,785
3,528
3,311
3,876
5,1198
2,721
3,1400
3,72
4,486
3,1056
3,906
4,1048
4,152
4,228
3,1371
4,37
4,1754
4,1769
3,186
3,1332
4,928
2,1446
3,532
4,980
4,91
4,1224
3,506
3,1357
4,1374
3,1078
4,983
3,759
3,1650
4,635
4,816
2,1488
3,1600
4,1268
3,1285
3,1424
4,156
2,1582
4,886
4,1105
4,258
4,1748
3,1007
3,1617
4,916
4,1271
3,1124
4,631
4,345
4,617
3,245
4,1767
3,584
4,1525
3,972
3,457
3,1561
3,475
3,1367
4,420
3,1069
2,1739
2,376
4,975
5,531
3,1658
3,367
1,678
4,1242
3,262
4,670
4,1064
3,1350
4,198
3,137
4,866
3,1300
3,774
4,1159
4,1125
3,1361
4,507
4,762
4,277
4,389
3,1346
3,874
3,48
3,1675
3,647
4,1720
3,1590
4,1152
3,1226
4,862
4,1562
3,1336
3,1171
